Umbrella,Sunscreen,Snowpants/long johns),Dress,T-Shirt (or any 1 layer item),Long shirt,Shorts/skirt,"Long pants (Jeans, sweatpants, etc)","Long breezy pants (thin loose pants, athletic pants, etc)",Thin sweater,Thick sweater,Windbreaker/raincoat,Winter coat,Humidity,Pressure,Wspeed,Weather,Temp,Result
0,0,0,0,1,0,1,0,0,0,0,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,1,0,1,0,0,1,0,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,1,0,1,0,0,0,1,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,1,0,1,0,0,0,0,1,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,1,0,0,1,0,0,0,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,1,0,0,1,0,1,0,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,1,0,0,1,0,0,1,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,1,0,0,1,0,0,0,1,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,1,0,0,0,1,0,0,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,1,0,0,0,1,1,0,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,1,0,0,0,1,0,1,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,1,0,0,0,1,0,0,1,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,0,1,1,0,0,0,1,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,0,1,1,0,0,0,0,1,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,0,1,0,1,0,0,0,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,0,1,0,1,0,1,0,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,0,1,0,1,0,0,1,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,0,1,0,1,0,0,0,1,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,0,1,0,0,1,0,0,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,0,1,0,0,1,1,0,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,0,1,0,0,1,0,1,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,0,1,0,0,1,0,0,1,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,1,0,0,1,0,0,0,0,1,-1,-1,-1,1,-20,FALSE
0,0,0,0,1,0,0,1,0,1,0,0,1,-1,-1,-1,1,-20,TRUE
0,0,0,0,1,0,0,1,0,0,1,0,1,-1,-1,-1,1,-20,TRUE
0,0,0,0,1,0,0,0,1,0,0,0,1,-1,-1,-1,1,-20,FALSE
0,0,0,0,1,0,0,0,1,1,0,0,1,-1,-1,-1,1,-20,FALSE
0,0,0,0,1,0,0,0,1,0,1,0,1,-1,-1,-1,1,-20,FALSE
0,0,0,0,0,1,0,1,0,0,0,0,1,-1,-1,-1,1,-20,FALSE
0,0,0,0,0,1,0,1,0,1,0,0,1,-1,-1,-1,1,-20,TRUE
0,0,0,0,0,1,0,1,0,0,1,0,1,-1,-1,-1,1,-20,TRUE
0,0,0,0,0,1,0,0,1,0,0,0,1,-1,-1,-1,1,-20,FALSE
0,0,0,0,0,1,0,0,1,1,0,0,1,-1,-1,-1,1,-20,FALSE
0,0,0,0,0,1,0,0,1,0,1,0,1,-1,-1,-1,1,-20,FALSE
0,1,0,0,1,0,1,0,0,0,0,0,0,-1,-1,-1,1,-20,FALSE
0,1,0,0,1,0,1,0,0,1,0,0,0,-1,-1,-1,1,-20,FALSE
0,1,0,0,1,0,1,0,0,0,1,0,0,-1,-1,-1,1,-20,FALSE
0,1,0,0,1,0,1,0,0,0,0,1,0,-1,-1,-1,1,-20,FALSE
0,1,0,0,1,0,0,1,0,0,0,0,0,-1,-1,-1,1,-20,FALSE
0,1,0,0,1,0,0,0,1,0,0,0,0,-1,-1,-1,1,-20,FALSE
0,1,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,1,-20,FALSE
0,0,1,0,1,0,0,1,0,0,0,0,1,-1,-1,-1,1,-20,FALSE
0,0,1,0,1,0,0,1,0,1,0,0,1,-1,-1,-1,1,-20,TRUE
0,0,1,0,1,0,0,1,0,0,1,0,1,-1,-1,-1,1,-20,TRUE
0,0,1,0,1,0,0,0,1,0,0,0,1,-1,-1,-1,1,-20,FALSE
0,0,1,0,1,0,0,0,1,1,0,0,1,-1,-1,-1,1,-20,FALSE
0,0,1,0,1,0,0,0,1,0,1,0,1,-1,-1,-1,1,-20,FALSE
0,0,1,0,0,1,0,1,0,0,0,0,1,-1,-1,-1,1,-20,FALSE
0,0,1,0,0,1,0,1,0,1,0,0,1,-1,-1,-1,1,-20,TRUE
0,0,1,0,0,1,0,1,0,0,1,0,1,-1,-1,-1,1,-20,TRUE
0,0,1,0,0,1,0,0,1,0,0,0,1,-1,-1,-1,1,-20,FALSE
0,0,1,0,0,1,0,0,1,1,0,0,1,-1,-1,-1,1,-20,FALSE
0,0,1,0,0,1,0,0,1,0,1,0,1,-1,-1,-1,1,-20,FALSE
1,0,0,0,1,0,1,0,0,0,0,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,1,0,1,0,0,1,0,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,1,0,1,0,0,0,1,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,1,0,1,0,0,0,0,1,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,1,0,0,1,0,0,0,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,1,0,0,1,0,1,0,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,1,0,0,1,0,0,1,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,1,0,0,1,0,0,0,1,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,1,0,0,0,1,0,0,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,1,0,0,0,1,1,0,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,1,0,0,0,1,0,1,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,1,0,0,0,1,0,0,1,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,0,1,1,0,0,0,1,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,0,1,1,0,0,0,0,1,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,0,1,0,1,0,0,0,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,0,1,0,1,0,1,0,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,0,1,0,1,0,0,1,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,0,1,0,1,0,0,0,1,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,0,1,0,0,1,0,0,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,0,1,0,0,1,1,0,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,0,1,0,0,1,0,1,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,0,0,1,0,0,1,0,0,1,0,-1,-1,-1,1,-20,FALSE
1,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,1,0,0,0,0,0,0,0,1,0,-1,-1,-1,1,-20,FALSE
1,0,0,1,0,0,0,0,0,0,1,0,0,-1,-1,-1,1,-20,FALSE
1,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,1,0,0,0,0,0,0,0,1,0,-1,-1,-1,1,-20,FALSE
0,0,0,1,0,0,0,0,0,0,1,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,1,-20,FALSE
0,1,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,-20,FALSE
0,1,0,1,0,0,0,0,0,0,0,1,0,-1,-1,-1,1,-20,FALSE
0,1,0,1,0,0,0,0,0,0,1,0,0,-1,-1,-1,1,-20,FALSE
0,1,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,1,-20,FALSE
0,0,0,0,1,0,1,0,0,0,0,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,1,0,1,0,0,1,0,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,1,0,1,0,0,0,1,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,1,0,1,0,0,0,0,1,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,1,0,0,1,0,0,0,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,1,0,0,1,0,1,0,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,1,0,0,1,0,0,1,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,1,0,0,1,0,0,0,1,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,1,0,0,0,1,0,0,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,1,0,0,0,1,1,0,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,1,0,0,0,1,0,1,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,1,0,0,0,1,0,0,1,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,0,1,1,0,0,1,0,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,0,1,1,0,0,0,1,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,0,1,1,0,0,0,0,1,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,0,1,0,1,0,0,0,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,0,1,0,1,0,1,0,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,0,1,0,1,0,0,1,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,0,1,0,1,0,0,0,1,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,0,1,0,0,1,0,0,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,0,1,0,0,1,1,0,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,0,1,0,0,1,0,1,0,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,0,1,0,0,1,0,0,1,0,-1,-1,-1,1,-10,FALSE
0,0,0,0,1,0,0,1,0,0,0,0,1,-1,-1,-1,1,-10,FALSE
0,0,0,0,1,0,0,1,0,1,0,0,1,-1,-1,-1,1,-10,TRUE
0,0,0,0,1,0,0,1,0,0,1,0,1,-1,-1,-1,1,-10,TRUE
