Umbrella,Sunscreen,Snowpants/long johns),Dress,T-Shirt (or any 1 layer item),Long shirt,Shorts/skirt,"Long pants (Jeans, sweatpants, etc)","Long breezy pants (thin loose pants, athletic pants, etc)",Thin sweater,Thick sweater,Windbreaker/raincoat,Winter coat,Weather,Temp,Result
0,0,0,0,1,0,1,0,0,0,0,0,0,1,-20,FALSE
0,0,0,0,1,0,1,0,0,1,0,0,0,1,-19,FALSE
0,0,0,0,1,0,1,0,0,0,1,0,0,1,-18,FALSE
0,0,0,0,1,0,1,0,0,0,0,1,0,1,-17,FALSE
0,0,0,0,1,0,0,1,0,0,0,0,0,1,-16,FALSE
0,0,0,0,1,0,0,1,0,1,0,0,0,1,-15,FALSE
0,0,0,0,1,0,0,1,0,0,1,0,0,1,-14,FALSE
0,0,0,0,1,0,0,1,0,0,0,1,0,1,-13,FALSE
0,0,0,0,1,0,0,0,1,0,0,0,0,1,-20,FALSE
0,0,0,0,1,0,0,0,1,1,0,0,0,1,-19,FALSE
0,0,0,0,1,0,0,0,1,0,1,0,0,1,-18,FALSE
0,0,0,0,1,0,0,0,1,0,0,1,0,1,-17,FALSE
0,0,0,0,0,1,1,0,0,0,0,0,0,1,-16,FALSE
0,0,0,0,0,1,1,0,0,1,0,0,0,1,-15,FALSE
0,0,0,0,0,1,1,0,0,0,1,0,0,1,-14,FALSE
0,0,0,0,0,1,1,0,0,0,0,1,0,1,-13,FALSE
0,0,0,0,0,1,0,1,0,0,0,0,0,1,-20,FALSE
0,0,0,0,0,1,0,1,0,1,0,0,0,1,-19,FALSE
0,0,0,0,0,1,0,1,0,0,1,0,0,1,-18,FALSE
0,0,0,0,0,1,0,1,0,0,0,1,0,1,-17,FALSE
0,0,0,0,0,1,0,0,1,0,0,0,0,1,-16,FALSE
0,0,0,0,0,1,0,0,1,1,0,0,0,1,-15,FALSE
0,0,0,0,0,1,0,0,1,0,1,0,0,1,-14,FALSE
0,0,0,0,0,1,0,0,1,0,0,1,0,1,-13,FALSE
0,0,0,0,1,0,0,1,0,0,0,0,1,1,-20,FALSE
0,0,0,0,1,0,0,1,0,1,0,0,1,1,-19,TRUE
0,0,0,0,1,0,0,1,0,0,1,0,1,1,-18,TRUE
0,0,0,0,1,0,0,0,1,0,0,0,1,1,-17,FALSE
0,0,0,0,1,0,0,0,1,1,0,0,1,1,-16,FALSE
0,0,0,0,1,0,0,0,1,0,1,0,1,1,-15,FALSE
0,0,0,0,0,1,0,1,0,0,0,0,1,1,-14,FALSE
0,0,0,0,0,1,0,1,0,1,0,0,1,1,-13,TRUE
0,0,0,0,0,1,0,1,0,0,1,0,1,1,-20,TRUE
0,0,0,0,0,1,0,0,1,0,0,0,1,1,-19,FALSE
0,0,0,0,0,1,0,0,1,1,0,0,1,1,-18,FALSE
0,0,0,0,0,1,0,0,1,0,1,0,1,1,-17,FALSE
0,1,0,0,1,0,1,0,0,0,0,0,0,1,-16,FALSE
0,1,0,0,1,0,1,0,0,1,0,0,0,1,-15,FALSE
0,1,0,0,1,0,1,0,0,0,1,0,0,1,-14,FALSE
0,1,0,0,1,0,1,0,0,0,0,1,0,1,-13,FALSE
0,1,0,0,1,0,0,1,0,0,0,0,0,1,-20,FALSE
0,1,0,0,1,0,0,0,1,0,0,0,0,1,-19,FALSE
0,1,0,0,0,1,1,0,0,0,0,0,0,1,-18,FALSE
0,0,1,0,1,0,0,1,0,0,0,0,1,1,-17,FALSE
0,0,1,0,1,0,0,1,0,1,0,0,1,1,-16,TRUE
0,0,1,0,1,0,0,1,0,0,1,0,1,1,-15,TRUE
0,0,1,0,1,0,0,0,1,0,0,0,1,1,-14,FALSE
0,0,1,0,1,0,0,0,1,1,0,0,1,1,-13,FALSE
0,0,1,0,1,0,0,0,1,0,1,0,1,1,-20,FALSE
0,0,1,0,0,1,0,1,0,0,0,0,1,1,-19,FALSE
0,0,1,0,0,1,0,1,0,1,0,0,1,1,-18,TRUE
0,0,1,0,0,1,0,1,0,0,1,0,1,1,-17,TRUE
0,0,1,0,0,1,0,0,1,0,0,0,1,1,-16,FALSE
0,0,1,0,0,1,0,0,1,1,0,0,1,1,-15,FALSE
0,0,1,0,0,1,0,0,1,0,1,0,1,1,-14,FALSE
1,0,0,0,1,0,1,0,0,0,0,0,0,1,-13,FALSE
1,0,0,0,1,0,1,0,0,1,0,0,0,1,-20,FALSE
1,0,0,0,1,0,1,0,0,0,1,0,0,1,-19,FALSE
1,0,0,0,1,0,1,0,0,0,0,1,0,1,-18,FALSE
1,0,0,0,1,0,0,1,0,0,0,0,0,1,-17,FALSE
1,0,0,0,1,0,0,1,0,1,0,0,0,1,-16,FALSE
1,0,0,0,1,0,0,1,0,0,1,0,0,1,-15,FALSE
1,0,0,0,1,0,0,1,0,0,0,1,0,1,-14,FALSE
1,0,0,0,1,0,0,0,1,0,0,0,0,1,-13,FALSE
1,0,0,0,1,0,0,0,1,1,0,0,0,1,-20,FALSE
1,0,0,0,1,0,0,0,1,0,1,0,0,1,-19,FALSE
1,0,0,0,1,0,0,0,1,0,0,1,0,1,-18,FALSE
1,0,0,0,0,1,1,0,0,0,0,0,0,1,-17,FALSE
1,0,0,0,0,1,1,0,0,1,0,0,0,1,-16,FALSE
1,0,0,0,0,1,1,0,0,0,1,0,0,1,-15,FALSE
1,0,0,0,0,1,1,0,0,0,0,1,0,1,-14,FALSE
1,0,0,0,0,1,0,1,0,0,0,0,0,1,-13,FALSE
1,0,0,0,0,1,0,1,0,1,0,0,0,1,-20,FALSE
1,0,0,0,0,1,0,1,0,0,1,0,0,1,-19,FALSE
1,0,0,0,0,1,0,1,0,0,0,1,0,1,-18,FALSE
1,0,0,0,0,1,0,0,1,0,0,0,0,1,-17,FALSE
1,0,0,0,0,1,0,0,1,1,0,0,0,1,-16,FALSE
1,0,0,0,0,1,0,0,1,0,1,0,0,1,-15,FALSE
1,0,0,0,0,1,0,0,1,0,0,1,0,1,-14,FALSE
1,0,0,1,0,0,0,0,0,0,0,0,0,1,-13,FALSE
1,0,0,1,0,0,0,0,0,0,0,1,0,1,-20,FALSE
1,0,0,1,0,0,0,0,0,0,1,0,0,1,-19,FALSE
1,0,0,1,0,0,0,0,0,1,0,0,0,1,-18,FALSE
0,0,0,1,0,0,0,0,0,0,0,0,0,1,-17,FALSE
0,0,0,1,0,0,0,0,0,0,0,1,0,1,-16,FALSE
0,0,0,1,0,0,0,0,0,0,1,0,0,1,-15,FALSE
0,0,0,1,0,0,0,0,0,1,0,0,0,1,-14,FALSE
0,1,0,1,0,0,0,0,0,0,0,0,0,1,-13,FALSE
0,1,0,1,0,0,0,0,0,0,0,1,0,1,-20,FALSE
0,1,0,1,0,0,0,0,0,0,1,0,0,1,-20,FALSE
0,1,0,1,0,0,0,0,0,1,0,0,0,1,-20,FALSE
0,0,0,0,1,0,1,0,0,0,0,0,0,1,-10,FALSE
0,0,0,0,1,0,1,0,0,1,0,0,0,1,-9,FALSE
0,0,0,0,1,0,1,0,0,0,1,0,0,1,-8,FALSE
0,0,0,0,1,0,1,0,0,0,0,1,0,1,-7,FALSE
0,0,0,0,1,0,0,1,0,0,0,0,0,1,-6,FALSE
0,0,0,0,1,0,0,1,0,1,0,0,0,1,-5,FALSE
0,0,0,0,1,0,0,1,0,0,1,0,0,1,-4,FALSE
0,0,0,0,1,0,0,1,0,0,0,1,0,1,-3,FALSE
0,0,0,0,1,0,0,0,1,0,0,0,0,1,-9,FALSE
0,0,0,0,1,0,0,0,1,1,0,0,0,1,-8,FALSE
0,0,0,0,1,0,0,0,1,0,1,0,0,1,-7,FALSE
0,0,0,0,1,0,0,0,1,0,0,1,0,1,-6,FALSE
0,0,0,0,0,1,1,0,0,0,0,0,0,1,-5,FALSE
0,0,0,0,0,1,1,0,0,1,0,0,0,1,-4,FALSE
0,0,0,0,0,1,1,0,0,0,1,0,0,1,-3,FALSE
0,0,0,0,0,1,1,0,0,0,0,1,0,1,-9,FALSE
0,0,0,0,0,1,0,1,0,0,0,0,0,1,-8,FALSE
0,0,0,0,0,1,0,1,0,1,0,0,0,1,-7,FALSE
0,0,0,0,0,1,0,1,0,0,1,0,0,1,-6,FALSE
0,0,0,0,0,1,0,1,0,0,0,1,0,1,-5,FALSE
